x, y
-97.84123992919922, -11.222057342529297
-96.84254455566406, -11.274504661560059
-95.84386444091797, -11.338173866271973
-94.84596252441406, -11.417291641235352
-93.84915161132812, -11.515978813171387
-92.85588836669922, -11.63731861114502
-91.86595916748047, -11.782629013061523
-90.8794174194336, -11.950776100158691
-89.89628601074219, -12.14157772064209
-88.91842651367188, -12.358068466186523
-87.9486312866211, -12.607172966003418
-86.98916625976562, -12.892290115356445
-86.03836059570312, -13.202841758728027
-85.08830261230469, -13.518489837646484
-84.13350677490234, -13.82075023651123
-83.1723861694336, -14.101872444152832
-82.2061996459961, -14.363980293273926
-81.23794555664062, -14.614710807800293
-80.26951599121094, -14.86340618133545
-79.30182647705078, -15.117982864379883
-78.33715057373047, -15.385784149169922
-77.38009643554688, -15.678916931152344
-76.43544006347656, -16.00951385498047
-75.50460052490234, -16.376415252685547
-74.58385467529297, -16.76552391052246
-73.6650619506836, -17.16121482849121
-72.7430191040039, -17.551054000854492
-71.81626892089844, -17.92780303955078
-70.88419342041016, -18.28966522216797
-69.94689178466797, -18.638782501220703
-69.00702667236328, -18.979379653930664
-68.06477355957031, -19.31727409362793
-67.12389373779297, -19.65821075439453
-66.18863677978516, -20.016061782836914
-65.26727294921875, -20.408674240112305
-64.3629379272461, -20.839336395263672
-63.46715545654297, -21.286733627319336
-62.56547927856445, -21.71993637084961
-61.64735412597656, -22.116579055786133
-60.71147155761719, -22.472110748291016
-59.76514434814453, -22.800975799560547
-58.81637191772461, -23.12009620666504
-57.86405944824219, -23.427974700927734
-56.903316497802734, -23.706157684326172
-55.930145263671875, -23.9383602142334
-54.946807861328125, -24.119142532348633
-53.955074310302734, -24.251096725463867
-52.95814895629883, -24.343107223510742
-51.960243225097656, -24.421180725097656
-50.96249008178711, -24.514734268188477
-49.966609954833984, -24.623029708862305
-48.9694709777832, -24.712751388549805
-47.96966552734375, -24.748573303222656
-46.970279693603516, -24.715301513671875
-45.97526931762695, -24.61574935913086
-44.986671447753906, -24.46158218383789
-44.00570297241211, -24.26738929748535
-43.03150939941406, -24.04165267944336
-42.063838958740234, -23.78961181640625
-41.09761428833008, -23.530237197875977
-40.12276077270508, -23.30850601196289
-39.131248474121094, -23.186838150024414
-38.13430404663086, -23.223506927490234
-37.162166595458984, -23.45195960998535
-36.258056640625, -23.87627601623535
-35.47126007080078, -24.483057022094727
-34.845237731933594, -25.250564575195312
-34.37487030029297, -26.122468948364258
-33.9930305480957, -27.0388126373291
-33.603553771972656, -27.959693908691406
-33.1241455078125, -28.837106704711914
-32.50111770629883, -29.618423461914062
-31.718034744262695, -30.237333297729492
-30.800477981567383, -30.629541397094727
-29.81037139892578, -30.762575149536133
-28.8178768157959, -30.64695167541504
-27.874494552612305, -30.318342208862305
-27.006343841552734, -29.822315216064453
-26.219388961791992, -29.205121994018555
-25.505203247070312, -28.502565383911133
-24.85193634033203, -27.742918014526367
-24.246631622314453, -26.944435119628906
-23.67753028869629, -26.12218475341797
-23.131237030029297, -25.284284591674805
-22.59528160095215, -24.439546585083008
-22.054359436035156, -23.597768783569336
-21.49391746520996, -22.77091407775879
-20.916183471679688, -21.953981399536133
-20.354143142700195, -21.127531051635742
-19.850130081176758, -20.271591186523438
-19.46002769470215, -19.404172897338867
-19.25540542602539, -18.502395629882812
-19.305082321166992, -17.580175399780273
-19.64931869506836, -16.703458786010742
-20.249975204467773, -15.940921783447266
-20.99266242980957, -15.280197143554688
-21.74959373474121, -14.643743515014648
-22.430139541625977, -13.951926231384277
-22.967376708984375, -13.16787338256836
-23.29237937927246, -12.284948348999023
-23.343488693237305, -11.32511043548584
-23.10651206970215, -10.368124961853027
-22.624351501464844, -9.496358871459961
-21.988788604736328, -8.724363327026367
-21.306406021118164, -7.9932427406311035
-20.651371002197266, -7.236842632293701
-20.05773162841797, -6.43125057220459
-19.528759002685547, -5.581502437591553
-19.05182647705078, -4.701167106628418
-18.6096248626709, -3.8032214641571045
-18.182130813598633, -2.8978352546691895
-17.736852645874023, -2.0005042552948
-17.242021560668945, -1.12917160987854
-16.696046829223633, -0.28985604643821716
-16.125959396362305, 0.5345266461372375
-15.565962791442871, 1.3648605346679688
-15.034821510314941, 2.2142531871795654
-14.534364700317383, 3.081181049346924
-14.046838760375977, 3.95615553855896
-13.545710563659668, 4.8237175941467285
-13.014548301696777, 5.672546863555908
-12.458226203918457, 6.50484037399292
-11.895990371704102, 7.332056045532227
-11.34537124633789, 8.166739463806152
-10.804429054260254, 9.007796287536621
-10.242331504821777, 9.834702491760254
-9.614675521850586, 10.613020896911621
-8.89081859588623, 11.30347728729248
-8.064570426940918, 11.86671257019043
-7.149520397186279, 12.265874862670898
-6.175475597381592, 12.462189674377441
-5.182243824005127, 12.41545581817627
-4.224313259124756, 12.134291648864746
-3.322195053100586, 11.70064926147461
-2.4455530643463135, 11.218924522399902
-1.5532664060592651, 10.768172264099121
-0.631428062915802, 10.382981300354004
0.3056194484233856, 10.036545753479004
1.2296571731567383, 9.656152725219727
2.101121664047241, 9.168177604675293
2.8658270835876465, 8.528200149536133
3.464022159576416, 7.72985315322876
3.8415441513061523, 6.807154178619385
3.9569549560546875, 5.81732177734375
3.791449785232544, 4.834332466125488
3.376857042312622, 3.9250898361206055
2.808863878250122, 3.101343870162964
2.1918699741363525, 2.3133604526519775
1.5956450700759888, 1.5089058876037598
1.050220251083374, 0.6698219776153564
0.5552101135253906, -0.2010354846715927
0.09373379498720169, -1.0898958444595337
-0.3736740052700043, -1.9757864475250244
-0.886441707611084, -2.836057662963867
-1.4467939138412476, -3.6653077602386475
-2.0244619846343994, -4.4837727546691895
-2.5849850177764893, -5.312719345092773
-3.113403558731079, -6.163348197937012
-3.6151275634765625, -7.029232501983643
-4.117534637451172, -7.8965606689453125
-4.646110534667969, -8.747847557067871
-5.203091144561768, -9.580192565917969
-5.768679618835449, -10.406249046325684
-6.3206634521484375, -11.240169525146484
-6.849528789520264, -12.089720726013184
-7.362138271331787, -12.950722694396973
-7.878146648406982, -13.809256553649902
-8.415708541870117, -14.654195785522461
-8.973955154418945, -15.485435485839844
-9.535348892211914, -16.315046310424805
-10.080467224121094, -17.154743194580078
-10.604574203491211, -18.0076961517334
-11.120609283447266, -18.866775512695312
-11.646682739257812, -19.71929931640625
-12.193533897399902, -20.55829429626465
-12.754608154296875, -21.387834548950195
-13.312931060791016, -22.219276428222656
-13.855403900146484, -23.05997085571289
-14.385231971740723, -23.908885955810547
-14.918976783752441, -24.75628089904785
-15.46954345703125, -25.592256546020508
-16.03811264038086, -26.416833877563477
-16.618215560913086, -27.232717514038086
-17.208282470703125, -28.041194915771484
-17.813156127929688, -28.839563369750977
-18.442920684814453, -29.6192569732666
-19.119781494140625, -30.35638999938965
-19.871417999267578, -31.019302368164062
-20.692026138305664, -31.592937469482422
-21.555097579956055, -32.100189208984375
-22.434776306152344, -32.5780029296875
-23.31724739074707, -33.04928970336914
-24.20052146911621, -33.519371032714844
-25.089580535888672, -33.98161315917969
-25.994430541992188, -34.41270065307617
-26.924190521240234, -34.787261962890625
-27.87545394897461, -35.100975036621094
-28.83785057067871, -35.3771858215332
-29.801973342895508, -35.646942138671875
-30.762407302856445, -35.93023681640625
-31.718183517456055, -36.229671478271484
-32.673919677734375, -36.53042984008789
-33.634613037109375, -36.81355285644531
-34.60285568237305, -37.070045471191406
-35.5752067565918, -37.30990219116211
-36.54665756225586, -37.55510711669922
-37.51095199584961, -37.822723388671875
-38.46844482421875, -38.11538314819336
-39.4228630065918, -38.41618728637695
-40.3827018737793, -38.70231246948242
-41.35045623779297, -38.96104431152344
-42.32326889038086, -39.200687408447266
-43.29534912109375, -39.44208908081055
-44.261871337890625, -39.702327728271484
-45.22318649291992, -39.98411560058594
-46.18265914916992, -40.27363204956055
-47.14497375488281, -40.551475524902344
-48.11375045776367, -40.805747985839844
-49.087738037109375, -41.04136657714844
-50.061336517333984, -41.276851654052734
-51.02947235107422, -41.53060531616211
-51.9907112121582, -41.8072624206543
-52.9509391784668, -42.09253692626953
-53.91472625732422, -42.36509704589844
-54.88470458984375, -42.61491394042969
-55.85731506347656, -42.84980773925781
-56.8297004699707, -43.08922576904297
-57.79631042480469, -43.34695053100586
-58.7588996887207, -43.62217330932617
-59.72056579589844, -43.904075622558594
-60.68299102783203, -44.18135452270508
-61.648799896240234, -44.44711685180664
-62.61772537231445, -44.70069122314453
-63.58746337890625, -44.95104217529297
-64.55359649658203, -45.2115478515625
-65.51456451416016, -45.489891052246094
-66.47218322753906, -45.7805061340332
-67.429931640625, -46.06845474243164
-68.39208984375, -46.341793060302734
-69.35806274414062, -46.60230255126953
-70.32664489746094, -46.85392761230469
-71.30242156982422, -47.07853317260742
-72.29146575927734, -47.227256774902344
-73.29096221923828, -47.242584228515625
-74.2774429321289, -47.084266662597656
-75.21336364746094, -46.737159729003906
-76.05707550048828, -46.209678649902344
-76.766845703125, -45.52613067626953
-77.3349838256836, -44.710540771484375
-77.82062530517578, -43.836204528808594
